Data,Real,Previsao
2014-07-25,57472.2,64220.406
2014-07-26,38669.9,45411.79
2014-07-28,72978.4,86314.4
2014-07-30,95363.7,77160.625
2014-07-31,29406.0,114730.16
2014-08-03,54076.1,106542.484
2014-08-05,126484.6,140686.84
2014-08-08,110352.0,116600.91
2014-08-09,72852.9,96881.32
2014-08-21,58794.8,85017.52
2014-08-23,57108.6,86933.445
2014-08-25,97780.7,89153.44
2014-08-26,155085.5,104963.484
2014-08-29,101126.8,106626.516
2014-09-01,35857.2,70767.97
2014-09-06,41796.3,73276.945
2014-09-07,39335.2,84817.53
2014-09-08,25103.0,72698.3
2014-09-17,215637.4,245739.1
2014-09-27,52083.1,84411.305
2014-10-03,16237.8,87347.39
2014-10-08,257755.4,241168.12
2014-10-10,13379.7,59822.145
2014-10-16,296061.9,292672.56
2014-10-20,66777.4,119137.47
2014-10-21,24244.6,100585.59
2014-10-23,84244.2,108026.016
2014-10-31,139901.3,112247.734
2014-11-05,143082.5,140320.8
2014-11-11,273782.4,214781.73
2014-11-13,317622.8,290309.25
2014-11-14,173536.9,168553.84
2014-11-15,268366.5,175552.28
2014-11-17,90329.9,107256.47
2014-11-26,113054.1,104178.31
2014-11-28,111539.9,141771.55
2014-12-05,63323.4,44195.92
2014-12-10,95694.3,91923.34
2014-12-17,146996.3,127967.31
2014-12-23,38016.5,112972.94
2014-12-25,109660.8,91999.664
2014-12-26,74540.0,94976.35
2015-01-01,43442.2,64134.88
2015-01-03,12721.8,38742.387
2015-01-05,21393.1,14621.811
2015-01-07,19586.5,81681.7
2015-01-08,30997.3,67915.84
2015-01-10,40607.0,46835.367
2015-01-16,164359.2,138626.77
2015-01-18,175148.0,41634.477
2015-01-20,173428.5,130259.73
2015-01-25,99277.3,83889.0
2015-01-26,123147.3,47062.867
2015-01-29,296198.9,223774.75
2015-01-30,383693.9,456100.97
2015-02-02,312730.8,267683.9
2015-02-04,286473.2,278285.22
2015-02-07,115027.2,93591.516
2015-02-08,210415.4,157004.95
2015-02-19,99708.5,110834.39
2015-02-24,291385.3,235737.75
2015-02-28,189067.5,127073.31
2015-03-02,88517.3,64177.652
2015-03-05,293114.7,223867.48
2015-03-09,37658.7,31245.752
2015-03-13,204854.4,148940.2
2015-03-17,145944.5,119325.36
2015-03-18,135550.0,140255.44
2015-03-20,225070.8,161440.77
2015-03-22,193935.6,113633.81
2015-03-24,314042.2,296840.47
2015-03-25,300719.0,302332.53
2015-03-26,226717.2,205411.77
2015-03-27,130518.6,144702.14
2015-03-31,177892.2,123205.04
2015-04-01,165466.2,118692.11
2015-04-02,142381.4,137175.19
2015-04-13,186240.2,143366.88
2015-04-15,46881.9,68881.77
2015-04-22,54720.8,110456.94
2015-04-23,21545.4,36307.73
2015-04-24,67236.0,52064.26
2015-04-26,150741.6,220527.28
2015-05-01,132303.4,81825.414
2015-05-11,29696.8,33046.504
2015-05-16,155481.1,129870.85
2015-05-18,102696.8,105660.66
2015-05-19,267774.9,275365.0
2015-05-21,174816.6,140516.23
2015-05-23,152077.7,126153.05
2015-05-25,132023.1,96193.1
2015-05-28,57402.4,52648.87
2015-06-02,51139.0,66793.97
2015-06-04,48818.5,45755.316
2015-06-06,61437.2,32019.887
2015-06-11,59090.2,101946.4
2015-06-12,63605.5,91871.25
2015-06-16,54630.8,65286.895
2015-06-20,99071.2,64390.816
2015-06-26,48673.4,74000.48
