Data,Eólica,Intensidade_Media,Temperatura_Media,Direcao_Media,mes,dia_da_semana,dia_do_ano,semana_do_ano,trimestre,eh_fim_de_semana,vento_sin,vento_cos,dia_semana_sin,dia_semana_cos,mes_sin,mes_cos,dia_ano_sin,dia_ano_cos,Eólica_lag1,Eólica_lag2,Eólica_lag3,Eólica_lag7,Eólica_lag14,Intensidade_Media_lag1,Temperatura_Media_lag1,vento_sin_lag1,vento_cos_lag1,Intensidade_Media_lag2,Temperatura_Media_lag2,vento_sin_lag2,vento_cos_lag2,Intensidade_Media_lag3,Temperatura_Media_lag3,vento_sin_lag3,vento_cos_lag3,Intensidade_Media_lag7,Temperatura_Media_lag7,vento_sin_lag7,vento_cos_lag7,Eolica_roll_mean_3,Eolica_roll_std_3,Intensidade_Media_roll_mean_3,Intensidade_Media_roll_std_3,Eolica_roll_mean_7,Eolica_roll_std_7,Intensidade_Media_roll_mean_7,Intensidade_Media_roll_std_7,Eolica_roll_mean_14,Eolica_roll_std_14,Intensidade_Media_roll_mean_14,Intensidade_Media_roll_std_14,Temperatura_Media_roll_mean_3,Temperatura_Media_roll_std_3,Temperatura_Media_roll_mean_7,Temperatura_Media_roll_std_7,Temperatura_Media_roll_mean_14,Temperatura_Media_roll_std_14
2025-04-15,254233.9,5.527777777777778,7.1,309,4,1,105,16,2,0,-0.7771459614569708,0.6293203910498375,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.9732643737003824,-0.22968774213179563,254233.9,254233.9,254233.9,254233.9,0.0,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,254233.9,23549.2013979243,5.527777777777778,0.25534411542847524,254233.9,23549.2013979243,5.527777777777778,0.25534411542847524,254233.9,23549.2013979243,5.527777777777778,0.25534411542847524,7.1,0.21213203435596475,7.1,0.21213203435596475,7.1,0.21213203435596475
2025-04-16,220930.3,5.166666666666667,7.4,122,4,2,106,16,2,0,0.8480480961564261,-0.5299192642332048,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.9691780654392537,-0.2463612742933147,254233.9,254233.9,254233.9,254233.9,0.0,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,254233.9,23549.2013979243,5.527777777777778,0.25534411542847524,254233.9,23549.2013979243,5.527777777777778,0.25534411542847524,254233.9,23549.2013979243,5.527777777777778,0.25534411542847524,7.1,0.21213203435596475,7.1,0.21213203435596475,7.1,0.21213203435596475
2025-04-17,119636.2,3.611111111111111,9.6,190,4,3,107,16,2,0,-0.17364817766693047,-0.984807753012208,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.9648061359537646,-0.26296220265651454,220930.3,254233.9,254233.9,254233.9,0.0,5.166666666666667,7.4,0.8480480961564261,-0.5299192642332048,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,237582.09999999998,23549.2013979243,5.347222222222222,0.25534411542847524,237582.09999999998,23549.2013979243,5.347222222222222,0.25534411542847524,237582.09999999998,23549.2013979243,5.347222222222222,0.25534411542847524,7.25,0.21213203435596475,7.25,0.21213203435596475,7.25,0.21213203435596475
2025-04-18,328319.6,6.694444444444445,10.5,233,4,4,108,16,2,0,-0.7986355100472928,-0.6018150231520483,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9601498736716018,-0.2794856348516094,119636.2,220930.3,254233.9,254233.9,0.0,3.611111111111111,9.6,-0.17364817766693047,-0.984807753012208,5.166666666666667,7.4,0.8480480961564261,-0.5299192642332048,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,198266.80000000002,70102.50270503899,4.768518518518518,1.0184764301068179,198266.80000000002,70102.50270503899,4.768518518518518,1.0184764301068179,198266.80000000002,70102.50270503899,4.768518518518518,1.0184764301068179,8.033333333333333,1.3650396819628845,8.033333333333333,1.3650396819628845,8.033333333333333,1.3650396819628845
2025-04-19,389549.6,8.305555555555555,6.7,264,4,5,109,16,2,1,-0.9945218953682734,-0.10452846326765336,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.9552106508146317,-0.2959267013472892,328319.6,119636.2,220930.3,254233.9,0.0,6.694444444444445,10.5,-0.7986355100472928,-0.6018150231520483,3.611111111111111,9.6,-0.17364817766693047,-0.984807753012208,5.166666666666667,7.4,0.8480480961564261,-0.5299192642332048,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,222962.0333333333,104356.5346020235,5.157407407407407,1.541687520713142,230780.0,86629.51741352366,5.25,1.2723313878443099,230780.0,86629.51741352366,5.25,1.2723313878443099,9.166666666666666,1.5947831618540915,8.65,1.6623276853055577,8.65,1.6623276853055577
2025-04-20,231698.8,3.75,9.8,280,4,6,110,16,2,1,-0.9848077530122081,0.17364817766692997,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.949989922994501,-0.31228055688579476,389549.6,328319.6,119636.2,254233.9,0.0,8.305555555555555,6.7,-0.9945218953682734,-0.10452846326765336,6.694444444444445,10.5,-0.7986355100472928,-0.6018150231520483,3.611111111111111,9.6,-0.17364817766693047,-0.984807753012208,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,279168.4666666666,141510.37525868314,6.203703703703703,2.385387183763027,262533.92,103295.99286664995,5.861111111111112,1.7553929249565907,262533.92,103295.99286664995,5.861111111111112,1.7553929249565907,8.933333333333334,1.985782801147531,8.26,1.6831518053936787,8.26,1.6831518053936787
2025-04-21,67440.1,1.8888888888888888,10.6,167,4,0,111,17,2,0,0.2249510543438652,-0.9743700647852351,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.9444892287836613,-0.32854238191083474,231698.8,389549.6,328319.6,254233.9,0.0,3.75,9.8,-0.9848077530122081,0.17364817766692997,8.305555555555555,6.7,-0.9945218953682734,-0.10452846326765336,6.694444444444445,10.5,-0.7986355100472928,-0.6018150231520483,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,316522.6666666666,79583.8833697711,6.25,2.3100692095879767,257394.7333333333,93244.3947452857,5.5092592592592595,1.7910672267392946,257394.7333333333,93244.3947452857,5.5092592592592595,1.7910672267392946,9.000000000000002,2.022374841615669,8.516666666666667,1.6314615124687026,8.516666666666667,1.6314615124687026
2025-04-22,106542.8,4.888888888888889,11.5,330,4,1,112,17,2,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.9387101892619443,-0.3447073839879337,67440.1,231698.8,389549.6,254233.9,0.0,1.8888888888888888,10.6,0.2249510543438652,-0.9743700647852351,3.75,9.8,-0.9848077530122081,0.17364817766692997,8.305555555555555,6.7,-0.9945218953682734,-0.10452846326765336,5.527777777777778,7.1,-0.7771459614569708,0.6293203910498375,229562.83333333328,161065.37263721,4.648148148148148,3.301273292200183,230258.35714285713,111355.78722621255,4.992063492063492,2.1320666984922205,230258.35714285713,111355.78722621255,4.992063492063492,2.1320666984922205,9.033333333333333,2.0599352740640504,8.814285714285715,1.6846647257229668,8.814285714285715,1.6846647257229668
2025-04-23,43763.0,3.3055555555555554,13.3,32,4,2,113,17,2,0,0.5299192642332049,0.848048096156426,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.9326545075388225,-0.3607707992167831,106542.8,67440.1,231698.8,220930.3,0.0,4.888888888888889,11.5,-0.5000000000000004,0.8660254037844384,1.8888888888888888,10.6,0.2249510543438652,-0.9743700647852351,3.75,9.8,-0.9848077530122081,0.17364817766692997,5.166666666666667,7.4,0.8480480961564261,-0.5299192642332048,135227.23333333334,85804.00729664857,3.5092592592592595,1.5144197166536424,209159.62857142856,119732.53949614412,4.900793650793651,2.118946057055292,214793.91249999998,111990.44269610608,4.979166666666667,1.9742472277812915,10.633333333333333,0.850490054811534,9.442857142857141,1.7577041302573686,9.15,1.8260026599886747
2025-04-24,35123.7,2.1944444444444446,15.6,128,4,3,114,17,2,0,0.788010753606722,-0.6156614753256583,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.926323968251495,-0.376727893635185,43763.0,106542.8,67440.1,119636.2,0.0,3.3055555555555554,13.3,0.5299192642332049,0.848048096156426,4.888888888888889,11.5,-0.5000000000000004,0.8660254037844384,1.8888888888888888,10.6,0.2249510543438652,-0.9743700647852351,3.611111111111111,9.6,-0.17364817766693047,-0.984807753012208,72581.96666666667,31704.178220280766,3.361111111111111,1.5007714065822326,183850.01428571428,134628.3440284453,4.634920634920634,2.1954069953809086,195790.47777777776,119265.6766615481,4.79320987654321,1.9291617226114106,11.799999999999999,1.3747727084867492,10.285714285714286,2.0111593434538975,9.61111111111111,2.197978869577939
