Data,Intensidade_Media,Direcao_Media,Temperatura_Media,Eólica
2013-01-01,1.6293181521404219,327.2624390192826,9.488888888888887,89358.2
2013-01-02,1.5642175543470749,31.852420049216278,8.683333333333334,118865.5
2013-01-03,2.6761381102416224,79.706194598523,9.277777777777779,232257.7
2013-01-04,1.9969905958811767,88.71033640639527,8.761111111111111,149543.7
2013-01-05,1.0450901546605729,83.46588197540022,8.600000000000001,23830.8
2013-01-06,0.6208050915118758,89.04380006395306,8.43888888888889,19526.8
2013-01-07,0.885313666029041,106.62370562123508,8.31111111111111,9623.0
2013-01-08,1.1961315606992207,135.37140104360807,9.777777777777779,39302.3
2013-01-09,1.8527338619650087,184.49867252276707,10.844444444444443,120576.8
2013-01-10,1.2243659482995146,265.2860300926859,11.7,65510.1
2013-01-11,1.0651126830634186,216.32478407506028,10.422222222222224,58813.8
2013-01-12,2.796262201090142,275.405911195573,9.516666666666666,215235.9
2013-01-13,2.8852105583345384,313.46409469350147,8.02222222222222,226815.7
2013-01-14,2.4849223824201205,324.49220205380607,7.572222222222221,197674.5
2013-01-15,2.8848344134211144,302.5431322319666,8.277777777777779,206625.7
2013-01-16,3.9969120502130173,275.6023485660049,10.633333333333333,296588.4
2013-01-17,2.7168328335434846,274.8269609815263,11.505555555555556,203928.6
2013-01-18,5.515629881548171,233.819490586979,13.333333333333334,339106.5
2013-01-19,8.509928770892833,291.87865080323434,9.277777777777779,259344.9
2013-01-20,3.394946209146037,270.5839890340003,14.034169396459012,240697.4
2013-01-21,2.972679520016877,289.2494023371969,13.406391618681234,183723.9
2013-01-22,5.3144296106455595,285.2592145358253,6.872222222222222,281303.9
2013-01-23,3.0747883140039107,265.43895772737807,13.261947174236788,213249.1
2013-01-24,3.457420728790977,292.7783647433928,15.978613840903456,175013.7
2013-01-25,2.1850254942851066,284.67288338018545,16.661947174236786,121441.8
2013-01-26,2.0936102565451344,287.0089871703725,17.250836063125675,105366.3
2013-01-27,3.066345198788051,257.45591417199023,15.928613840903457,233458.9
2013-01-28,0.8606501550997802,227.46485625957425,13.945280507570121,81949.1
2013-01-29,1.091923079051476,141.63600032039542,9.811111111111112,82105.6
2013-01-30,0.8869192138922782,170.99311754903948,10.88888888888889,100070.0
2013-01-31,0.4865647645688507,201.74653763762873,11.683333333333335,44710.9
2013-02-01,3.572588799571889,254.93612350190796,10.95,241406.5
2013-02-02,4.07149349931286,333.9238822341042,8.55,258774.3
2013-02-03,2.192250517485,7.880940723549381,7.577777777777778,132163.8
2013-02-04,1.5071584099285227,352.58433757682093,9.78888888888889,83193.1
2013-02-05,2.6835702969229716,328.8225529813345,9.988888888888889,179967.6
2013-02-06,4.926759877493409,326.2518461985214,8.611111111111109,309253.3
2013-02-07,2.848003039945375,349.37886569468486,7.199999999999999,191489.5
2013-02-08,3.596757235993245,339.9949396471052,8.494444444444445,250163.5
2013-02-09,1.5961584666253164,356.94981544440094,13.78416939645901,64705.1
2013-02-10,3.9342489308612394,272.7192285315065,13.400836063125677,262548.0
2013-02-11,4.11507159836255,306.2581302735826,12.434169396459012,247075.3
2013-02-12,2.341295980017425,311.9636335752743,13.9230582853479,162637.2
2013-02-13,2.704491694106478,324.9835209299719,17.278613840903454,136440.6
2013-02-14,1.300977900323278,354.50374388257984,10.038888888888888,47286.7
2013-02-15,0.3035354313176047,92.57900288327848,10.0,33406.7
2013-02-16,1.0334347086037166,203.8802696024611,9.511111111111111,25796.7
2013-02-17,2.152323058245806,179.70826150302437,9.955555555555554,118874.3
2013-02-18,1.7155429768504344,143.24451674307136,10.111111111111112,77528.0
2013-02-19,0.676168654972213,329.4640683925978,9.25,35988.6
2013-02-20,1.8233824975931605,179.53197040320157,9.077777777777778,71136.3
2013-02-21,3.514762780670698,205.6118563350333,11.500000000000002,182071.2
2013-02-22,3.2666940275207517,239.80039360950298,9.588888888888892,187732.8
2013-02-23,3.3205722098265156,334.4699331154091,7.288888888888888,171761.4
2013-02-24,2.9376951188371336,339.5166801134372,5.927777777777778,162910.4
2013-02-25,2.065563612685142,19.510160588420135,5.872222222222224,94712.0
2013-02-26,1.7640263122320996,47.929727120202166,6.255555555555556,69947.2
2013-02-27,1.75544108768356,54.583747570488995,5.261111111111111,138567.1
2013-02-28,2.7178869738478855,19.13594762011196,6.138888888888888,172962.8
2013-03-01,1.3216873101952114,28.659758542461326,7.083333333333332,100869.6
2013-03-02,2.514661201152602,92.25361350617624,8.883333333333333,196843.4
2013-03-03,3.290193795522561,122.31324107197979,10.844444444444445,230815.5
2013-03-04,5.003219691662697,119.2943851937043,11.455555555555554,341354.0
2013-03-05,2.800648379593708,142.31842300041336,12.683333333333332,199186.4
2013-03-06,4.062571671378409,216.7893763219484,12.894444444444444,232240.1
2013-03-07,5.262848188066501,218.88212258893998,13.255555555555556,285565.7
2013-03-08,3.8887994031593864,208.16395094572232,12.011111111111113,226191.2
2013-03-09,4.438778407353438,211.38127086010303,11.344444444444443,269876.7
2013-03-10,4.175636338705882,245.6894127120766,10.405555555555557,271273.6
2013-03-11,4.2928142664401765,262.72333676023175,10.0,297825.3
2013-03-12,3.1804232247442448,287.1087299388142,8.966666666666669,200013.0
2013-03-13,3.7821934607854266,334.4597111065489,6.23888888888889,224982.2
2013-03-14,2.4349202519985327,344.1357490971523,7.105555555555555,102248.8
2013-03-15,1.3142117396243742,113.72595349833476,8.955555555555556,35100.0
2013-03-16,1.8838896360305322,150.2933740307288,10.038888888888888,153086.8
2013-03-17,2.9256494727633227,298.27717076734393,10.666666666666668,145550.6
2013-03-18,2.314701287313947,292.54635911543073,8.877777777777775,141648.2
2013-03-19,1.0831288343456167,312.0658269093101,7.933333333333333,83252.9
2013-03-20,2.049521592878713,238.95589578912939,9.822222222222223,96924.9
2013-03-21,3.686565999967341,173.20803258827817,12.28888888888889,280955.5
2013-03-22,3.709461461693567,220.14735467639878,11.5,208072.0
2013-03-23,2.4998459850798587,203.31814137072232,9.644444444444444,125688.5
2013-03-24,3.705833097725479,273.40763967673473,10.43888888888889,234173.4
2013-03-25,4.460413350189373,231.0719240203727,11.994444444444445,279457.8
2013-03-26,3.8734476636288937,224.51190588546535,13.083333333333332,241303.3
2013-03-27,3.1048823796516896,230.85745677055334,12.700000000000001,138664.0
2013-03-28,3.2862543176209833,226.76535202250162,12.305555555555554,178824.1
2013-03-29,5.148297771993355,234.67419599937833,13.85,310102.6
2013-03-30,3.0830861979642763,259.9433714527673,13.26111111111111,156309.2
2013-03-31,4.036667900203013,228.13456739699882,12.711111111111112,187558.0
2013-04-01,4.017103761173546,263.99094662630057,11.555555555555554,263505.0
2013-04-02,2.6235751312033018,215.47568784673334,11.811111111111112,140023.3
2013-04-03,2.8274296384709894,177.50572855742217,11.033333333333333,170322.1
2013-04-04,0.608500779187515,147.48504189895326,11.127777777777778,48985.0
