Data,Intensidade_Media,Direcao_Media,Temperatura_Media,Eólica,mes,dia_da_semana,vento_sin,vento_cos,Intensidade_Media_norm,Temperatura_Media_norm,Intensidade_Media_lag1,Temperatura_Media_lag1,Eólica_lag1
2017-04-29,2.5316404224167113,258.1148671093984,24.462783237362466,115206.3,4,Saturday,-0.9785624580236697,-0.20595027493711615,0.28283113799078513,0.5090421763173378,2.7356857197364017,24.36833879291802,212530.7
2017-04-30,4.3029331420492625,272.1343525248989,22.918338792918032,336739.8,4,Sunday,-0.9993062438888309,0.03724286407885804,2.0369895882865547,0.3320725957305844,2.5316404224167113,24.462783237362466,115206.3
2017-05-01,1.7601038961149804,317.7293054846645,23.479449904029135,43179.6,5,Monday,-0.6726341210544832,0.7399752287700332,-0.4812420738071966,0.3963672994689368,4.3029331420492625,22.918338792918032,336739.8
2017-05-02,1.0326772444324992,7.391658268193032,27.496116570695804,18589.6,5,Tuesday,0.12865121712888228,0.9916899033121479,-1.201632099620597,0.8566155252395258,1.7601038961149804,23.479449904029135,43179.6
2017-05-03,0.9753681803710574,104.84250879668126,30.562783237362467,38218.4,5,Wednesday,0.9666336026071265,-0.25616299168843226,-1.2583867951532326,1.208008361512506,1.0326772444324992,27.496116570695804,18589.6
2017-05-04,2.1588583739487675,179.07611656547485,24.045280507570116,130530.6,5,Thursday,0.016124109079171802,-0.9998699981029548,-0.08634487294786086,0.46120278445643165,0.9753681803710574,30.562783237362467,38218.4
2017-05-05,3.1879021772337923,224.85226539457764,19.684169396459012,213950.1,5,Friday,-0.7052811894164522,-0.7089276718081432,0.932744667278662,-0.0385134772723533,2.1588583739487675,24.045280507570116,130530.6
2017-05-06,1.8868530023005619,197.186496987281,20.378613840903455,92538.9,5,Saturday,-0.2954829094424629,-0.9553480257096977,-0.35571905143007265,0.041059175869172924,3.1879021772337923,19.684169396459012,213950.1
2017-05-07,1.3617545873323438,62.21989628131863,23.92861384090346,44390.4,5,Sunday,0.8847428772585612,0.4660794365129646,-0.8757380249425335,0.4478345787286564,1.8868530023005619,20.378613840903455,92538.9
2017-05-08,0.12287067393804409,168.57068073723292,25.16194717423679,51780.8,5,Monday,0.1981589365594535,-0.9801699015281108,-2.1026378261605534,0.5891556107080069,1.3617545873323438,23.92861384090346,44390.4
2017-05-09,2.451990389356441,226.12377054456942,22.40083606312568,85170.9,5,Tuesday,-0.7208387242369606,-0.6931028304951805,0.20395158465078478,0.2727747418172982,0.12287067393804409,25.16194717423679,51780.8
2017-05-10,3.0060739198976814,199.3163345997957,20.228613840903456,201351.3,5,Wednesday,-0.33078344989634156,-0.9437066860389803,0.7526752916337042,0.023871482790603388,2.451990389356441,22.40083606312568,85170.9
2017-05-11,3.863585873383117,217.93977605766395,19.850836063125676,301665.7,5,Thursday,-0.6148328524833915,-0.7886574437023569,1.601892263376327,-0.019416040518387228,3.0060739198976814,20.228613840903456,201351.3
2017-05-12,3.576897177670181,238.16988199659022,20.345280507570124,252847.1,5,Friday,-0.8496155768797758,-0.5274024758410276,1.3179767972226335,0.03723968851837988,3.863585873383117,19.850836063125676,301665.7
2017-05-13,2.2541410866461438,232.37877825512805,20.439724952014572,125726.5,5,Saturday,-0.7920635977609547,-0.6104385776652492,0.008016140222158552,0.04806156934562794,3.576897177670181,20.345280507570124,252847.1
2017-05-14,1.5100793083336166,220.15159293024598,22.011947174236795,67721.3,5,Sunday,-0.6448121546271153,-0.7643410791296888,-0.7288480954304201,0.2282140560580438,2.2541410866461438,20.439724952014572,125726.5
2017-05-15,0.8968109143459237,10.585482410598612,25.11194717423679,32481.7,5,Monday,0.18370228881262324,0.9829819271405775,-1.3361841521359383,0.583426379681817,1.5100793083336166,22.011947174236795,67721.3
2017-05-16,1.6479077571214447,351.0406711154781,27.156391618681234,26371.0,5,Tuesday,-0.15573332017981803,0.9877991359511155,-0.5923529044026596,0.8176882705304707,0.8968109143459237,25.11194717423679,32481.7
2017-05-17,3.297270515311552,312.5943591286437,24.484169396459016,133980.8,5,Wednesday,-0.7361637231948215,0.676803496335486,1.0410550511624195,0.5114927012418777,1.6479077571214447,27.156391618681234,26371.0
2017-05-18,4.739526631767879,325.6093103343548,20.10083606312568,296123.5,5,Thursday,-0.5648329183326656,0.8252052922562992,2.469359772415637,0.009230114612562684,3.297270515311552,24.484169396459016,133980.8
2017-05-19,3.0553491590298343,340.1117841897693,20.30639161868124,148147.8,5,Friday,-0.34018615121875145,0.9403581139751881,0.8014738759421983,0.03278361994245493,4.739526631767879,20.10083606312568,296123.5
2017-05-20,1.9228780341085463,58.07102806564508,24.700836063125678,94816.1,5,Saturday,0.8487043712776767,0.5288675544729166,-0.3200425010396555,0.5363193690220334,3.0553491590298343,20.30639161868124,148147.8
2017-05-21,2.209788982745416,131.864225282011,26.717502729792344,195789.1,5,Sunday,0.7447283868265387,-0.6673676871520985,-0.035906931884182744,0.7673983537450259,1.9228780341085463,24.700836063125678,94816.1
2017-05-22,1.8186924164055789,305.93101482684057,25.089724952014574,49253.5,5,Monday,-0.8097241120670525,0.5868107551308371,-0.4232202986263002,0.580880054781289,2.209788982745416,26.717502729792344,195789.1
2017-05-23,1.8039452300148842,46.96833246801553,33.88500545958468,126675.1,5,Tuesday,0.7309766475969055,0.6824024770382867,-0.4378248308634622,1.5886839341415675,1.8186924164055789,25.089724952014574,49253.5
2017-05-24,0.6744189281007433,107.73039599326,29.489724952014562,104921.9,5,Wednesday,0.9525000545737956,-0.3045384147146569,-1.5564248710335866,1.0850523850859988,1.8039452300148842,33.88500545958468,126675.1
2017-05-25,1.3741257872053365,286.7301948091542,27.50083606312568,39499.8,5,Thursday,-0.9576709231856838,0.2878652512629478,-0.8634864955612068,0.8571563064886678,0.6744189281007433,29.489724952014562,104921.9
2017-05-26,1.5382145509293699,276.39209321157205,29.196116570695803,32435.0,5,Friday,-0.9937832923539024,0.11133179167802047,-0.7009850138496972,1.0514093801299824,1.3741257872053365,27.50083606312568,39499.8
2017-05-27,1.132543006597861,236.42675987932756,29.5461165706958,52369.8,5,Saturday,-0.8331796102737852,-0.5530024746997281,-1.1027323702557421,1.0915139973133114,1.5382145509293699,29.196116570695803,32435.0
2017-05-28,2.1081460028373096,215.35883167352193,28.96278323736247,76296.6,5,Sunday,-0.5786953349163834,-0.8155438120334277,-0.13656668740784061,1.0246729686744294,1.132543006597861,29.5461165706958,52369.8
2017-05-29,2.0875296144877393,275.8329231749657,28.246116570695797,43808.9,5,Monday,-0.9948224758368334,0.10162795663533268,-0.15698364697479467,0.9425539906323734,2.1081460028373096,28.96278323736247,76296.6
2017-05-30,2.823440184524703,316.8989036928249,29.173894348473578,75018.6,5,Tuesday,-0.6832877446047155,0.7301492026106725,0.5718082295932465,1.0488630552294531,2.0875296144877393,28.246116570695797,43808.9
2017-05-31,2.6254464980620424,313.19905052103,30.512783237362466,69184.5,5,Wednesday,-0.7289799713170984,0.6845350257061522,0.37572979808152235,1.2022791304863159,2.823440184524703,29.173894348473578,75018.6
2017-06-01,2.6985445994299337,311.9777990345976,30.679449904029134,71011.7,6,Thursday,-0.7434040443722375,0.668842602419284,0.44812079861680554,1.2213765672402823,2.6254464980620424,30.512783237362466,69184.5
2017-06-02,3.249859577569203,314.3862323051397,29.946116570695803,125281.1,6,Friday,-0.7146407822318962,0.699491638528284,0.994102734272391,1.1373478455228307,2.6985445994299337,30.679449904029134,71011.7
