Coordenada X (m);Coordenada Y (m);Processo N.º;Parque Eólico;Sub-Parque;Licenciamento;Concelho;Distrito;NUT II;Inspire ID;Thematic ID;x;y
"72 121,31";"99 160,07";864;GUARDA I; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2061;IDDGEG_InfraestruturasEnergeticas;"72 121,306";"99 160,074"
"72 254,39";"99 389,69";864;GUARDA I; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2060;IDDGEG_InfraestruturasEnergeticas;"72 254,388";"99 389,689"
"71 856,66";"98 660,29";864;GUARDA I; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_1138;IDDGEG_InfraestruturasEnergeticas;"71 856,66";"98 660,287"
"71 995,26";"98 912,07";864;GUARDA I; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_1137;IDDGEG_InfraestruturasEnergeticas;"71 995,257";"98 912,073"
"-5135,63";"99 276,83";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3344;IDDGEG_InfraestruturasEnergeticas;"-5135,628";"99 276,825"
"-4549,74";"100 079,7";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3347;IDDGEG_InfraestruturasEnergeticas;"-4549,737";"100 079,701"
"-6727,77";"96 526,84";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3336;IDDGEG_InfraestruturasEnergeticas;"-6727,765";"96 526,844"
"-6718,78";"95 892,89";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3334;IDDGEG_InfraestruturasEnergeticas;"-6718,783";"95 892,889"
"-6751,27";"96 788,82";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3337;IDDGEG_InfraestruturasEnergeticas;"-6751,27";"96 788,822"
"-5577,53";"98 338,02";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3338;IDDGEG_InfraestruturasEnergeticas;"-5577,527";"98 338,023"
"-6522,39";"96 938,98";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3339;IDDGEG_InfraestruturasEnergeticas;"-6522,395";"96 938,975"
"-6600,77";"97 235,68";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3340;IDDGEG_InfraestruturasEnergeticas;"-6600,77";"97 235,682"
"-6804,66";"97 457,74";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3341;IDDGEG_InfraestruturasEnergeticas;"-6804,662";"97 457,736"
"-6596,73";"97 645,77";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3342;IDDGEG_InfraestruturasEnergeticas;"-6596,727";"97 645,769"
"-5210,88";"98 087,89";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3343;IDDGEG_InfraestruturasEnergeticas;"-5210,875";"98 087,892"
"-4726,17";"99 632,31";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3345;IDDGEG_InfraestruturasEnergeticas;"-4726,168";"99 632,31"
"-4521,37";"99 810,37";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3346;IDDGEG_InfraestruturasEnergeticas;"-4521,373";"99 810,373"
"-7052,88";"96 546,76";1237;GUARDÃO;;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_3335;IDDGEG_InfraestruturasEnergeticas;"-7052,883";"96 546,758"
"67 173,12";"88 433,67";772;MOSQUEIROS;MOSQUEIROS I;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_1139;IDDGEG_InfraestruturasEnergeticas;"67 173,125";"88 433,669"
"66 169,33";"87 778,37";772;MOSQUEIROS;MOSQUEIROS I;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_1141;IDDGEG_InfraestruturasEnergeticas;"66 169,329";"87 778,366"
"66 419,54";"87 990,44";772;MOSQUEIROS;MOSQUEIROS I;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_406;IDDGEG_InfraestruturasEnergeticas;"66 419,544";"87 990,438"
"66 770,72";"88 266,02";772;MOSQUEIROS;MOSQUEIROS I;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_1140;IDDGEG_InfraestruturasEnergeticas;"66 770,721";"88 266,015"
"65 498,05";"85 697,14";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2071;IDDGEG_InfraestruturasEnergeticas;"65 498,047";"85 697,138"
"65 343,04";"85 402,16";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2072;IDDGEG_InfraestruturasEnergeticas;"65 343,045";"85 402,157"
"65 042,08";"84 618,88";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2073;IDDGEG_InfraestruturasEnergeticas;"65 042,081";"84 618,876"
"67 073,81";"88 676,33";1009;MOSQUEIROS II;;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3109;IDDGEG_InfraestruturasEnergeticas;"67 073,812";"88 676,327"
"64 888,08";"84 431,67";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2074;IDDGEG_InfraestruturasEnergeticas;"64 888,083";"84 431,667"
"67 293,8";"89 074,33";1009;MOSQUEIROS II;;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3110;IDDGEG_InfraestruturasEnergeticas;"67 293,803";"89 074,329"
"65 925,84";"87 534,31";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2075;IDDGEG_InfraestruturasEnergeticas;"65 925,841";"87 534,313"
"65 146,89";"85 003,32";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2067;IDDGEG_InfraestruturasEnergeticas;"65 146,894";"85 003,315"
"65 799,85";"87 326,31";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2066;IDDGEG_InfraestruturasEnergeticas;"65 799,846";"87 326,312"
"65 711,01";"86 771,8";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2068;IDDGEG_InfraestruturasEnergeticas;"65 711,014";"86 771,802"
"65 698,77";"86 355,59";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2069;IDDGEG_InfraestruturasEnergeticas;"65 698,769";"86 355,591"
"65 594,96";"86 001,84";1009;MOSQUEIROS II; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2070;IDDGEG_InfraestruturasEnergeticas;"65 594,961";"86 001,838"
"84 423,23";"71 849,95";659;MOSTEIRO; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1149;IDDGEG_InfraestruturasEnergeticas;"84 423,23";"71 849,955"
"84 259,31";"71 731,81";659;MOSTEIRO; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1148;IDDGEG_InfraestruturasEnergeticas;"84 259,306";"71 731,806"
"83 831,53";"71 715,15";659;MOSTEIRO; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1147;IDDGEG_InfraestruturasEnergeticas;"83 831,535";"71 715,15"
"83 616,46";"71 548,03";659;MOSTEIRO; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1146;IDDGEG_InfraestruturasEnergeticas;"83 616,455";"71 548,031"
"83 450,15";"71 470,48";659;MOSTEIRO; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1145;IDDGEG_InfraestruturasEnergeticas;"83 450,154";"71 470,482"
"83 001,12";"71 294,36";659;MOSTEIRO; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_59;IDDGEG_InfraestruturasEnergeticas;"83 001,116";"71 294,356"
"82 783,04";"71 239,74";659;MOSTEIRO;;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3328;IDDGEG_InfraestruturasEnergeticas;"82 783,039";"71 239,743"
"83 198,69";"71 348,43";659;MOSTEIRO; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_60;IDDGEG_InfraestruturasEnergeticas;"83 198,694";"71 348,43"
"89 222,07";"68 366,38";633;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_382;IDDGEG_InfraestruturasEnergeticas;"89 222,065";"68 366,378"
"106 717,94";"71 966,43";633-S;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3132;IDDGEG_InfraestruturasEnergeticas;"106 717,942";"71 966,43"
"106 500,44";"72 123,59";633-S;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3131;IDDGEG_InfraestruturasEnergeticas;"106 500,44";"72 123,589"
"104 835,04";"72 012,88";633-S;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3130;IDDGEG_InfraestruturasEnergeticas;"104 835,041";"72 012,875"
"104 645,16";"72 436,82";633-S;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3129;IDDGEG_InfraestruturasEnergeticas;"104 645,155";"72 436,816"
"103 490,48";"72 697,17";633-S;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3128;IDDGEG_InfraestruturasEnergeticas;"103 490,483";"72 697,173"
"102 762,45";"72 606,28";633-S;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3127;IDDGEG_InfraestruturasEnergeticas;"102 762,451";"72 606,284"
"87 505,42";"71 917,03";633;PENAMACOR;PENAMACOR 3B;Em licenciamento;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1178;IDDGEG_InfraestruturasEnergeticas;"87 505,417";"71 917,029"
"91 879,62";"68 525,23";633;PENAMACOR;PENAMACOR 3B;Em licenciamento;Sabugal;Guarda;Centro;IDDGEG_CE_1156;IDDGEG_InfraestruturasEnergeticas;"91 879,624";"68 525,232"
"91 017,82";"68 087,33";633;PENAMACOR;PENAMACOR 3B;Em licenciamento;Sabugal;Guarda;Centro;IDDGEG_CE_1155;IDDGEG_InfraestruturasEnergeticas;"91 017,819";"68 087,33"
"90 246,78";"68 272,16";633;PENAMACOR;PENAMACOR 3B;Em licenciamento;Sabugal;Guarda;Centro;IDDGEG_CE_1154;IDDGEG_InfraestruturasEnergeticas;"90 246,781";"68 272,161"
"90 011,02";"68 385,83";633;PENAMACOR;PENAMACOR 3B;Em licenciamento;Sabugal;Guarda;Centro;IDDGEG_CE_1153;IDDGEG_InfraestruturasEnergeticas;"90 011,02";"68 385,825"
"89 222,07";"68 366,38";633;PENAMACOR;PENAMACOR 3B;Em licenciamento;Sabugal;Guarda;Centro;IDDGEG_CE_382;IDDGEG_InfraestruturasEnergeticas;"89 222,065";"68 366,378"
"91 644,15";"68 680,37";633;PENAMACOR;PENAMACOR 3B;Em licenciamento;Sabugal;Guarda;Centro;IDDGEG_CE_381;IDDGEG_InfraestruturasEnergeticas;"91 644,152";"68 680,371"
"91 455,26";"68 328,08";633-S;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3126;IDDGEG_InfraestruturasEnergeticas;"91 455,257";"68 328,085"
"89 525,8";"68 323,96";633-S;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3125;IDDGEG_InfraestruturasEnergeticas;"89 525,798";"68 323,962"
"87 597,63";"69 065,99";633-S;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_3124;IDDGEG_InfraestruturasEnergeticas;"87 597,634";"69 065,991"
"88 568,57";"70 365,78";633-S;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_3123;IDDGEG_InfraestruturasEnergeticas;"88 568,569";"70 365,777"
"90 720,27";"68 112,64";633;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1975;IDDGEG_InfraestruturasEnergeticas;"90 720,269";"68 112,644"
"84 665,01";"68 887,72";633;PENAMACOR;PENAMACOR 3A;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1974;IDDGEG_InfraestruturasEnergeticas;"84 665,011";"68 887,718"
"88 922,55";"68 447,55";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1189;IDDGEG_InfraestruturasEnergeticas;"88 922,553";"68 447,552"
"88 627,11";"68 709,52";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1188;IDDGEG_InfraestruturasEnergeticas;"88 627,109";"68 709,521"
"88 404,05";"68 865,15";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1187;IDDGEG_InfraestruturasEnergeticas;"88 404,05";"68 865,155"
"88 161,22";"69 034,93";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1186;IDDGEG_InfraestruturasEnergeticas;"88 161,223";"69 034,932"
"87 870,18";"69 084,13";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1185;IDDGEG_InfraestruturasEnergeticas;"87 870,178";"69 084,132"
"88 705,25";"69 925,56";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1184;IDDGEG_InfraestruturasEnergeticas;"88 705,249";"69 925,564"
"88 302,56";"70 562,44";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1183;IDDGEG_InfraestruturasEnergeticas;"88 302,564";"70 562,44"
"88 076,31";"71 047,5";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1182;IDDGEG_InfraestruturasEnergeticas;"88 076,313";"71 047,501"
"87 941,68";"71 319,9";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1181;IDDGEG_InfraestruturasEnergeticas;"87 941,677";"71 319,903"
"87 879,03";"71 578,64";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1180;IDDGEG_InfraestruturasEnergeticas;"87 879,027";"71 578,644"
"87 684,26";"71 739,47";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1179;IDDGEG_InfraestruturasEnergeticas;"87 684,256";"71 739,473"
"87 505,42";"71 917,03";633;PENAMACOR;PENAMACOR 3B;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1178;IDDGEG_InfraestruturasEnergeticas;"87 505,417";"71 917,029"
"85 344,28";"67 739,78";633;PENAMACOR;PENAMACOR 3A;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1177;IDDGEG_InfraestruturasEnergeticas;"85 344,28";"67 739,778"
"85 200,61";"67 885,58";633;PENAMACOR;PENAMACOR 3A;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1176;IDDGEG_InfraestruturasEnergeticas;"85 200,612";"67 885,58"
"85 097,85";"68 085,15";633;PENAMACOR;PENAMACOR 3A;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1175;IDDGEG_InfraestruturasEnergeticas;"85 097,853";"68 085,15"
"85 009,14";"68 277,12";633;PENAMACOR;PENAMACOR 3A;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1174;IDDGEG_InfraestruturasEnergeticas;"85 009,14";"68 277,115"
"84 911,73";"68 504,88";633;PENAMACOR;PENAMACOR 3A;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1173;IDDGEG_InfraestruturasEnergeticas;"84 911,729";"68 504,876"
"84 808,67";"68 731,01";633;PENAMACOR;PENAMACOR 3A;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1172;IDDGEG_InfraestruturasEnergeticas;"84 808,666";"68 731,009"
"105 937,78";"72 389,03";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1171;IDDGEG_InfraestruturasEnergeticas;"105 937,784";"72 389,026"
"105 658,81";"72 550,74";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1170;IDDGEG_InfraestruturasEnergeticas;"105 658,806";"72 550,743"
"105 360,42";"72 619,12";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1169;IDDGEG_InfraestruturasEnergeticas;"105 360,418";"72 619,122"
"104 069,08";"73 091,08";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1167;IDDGEG_InfraestruturasEnergeticas;"104 069,082";"73 091,083"
"103 548,21";"73 780,51";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1166;IDDGEG_InfraestruturasEnergeticas;"103 548,212";"73 780,51"
"106 173,14";"72 261,66";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1165;IDDGEG_InfraestruturasEnergeticas;"106 173,141";"72 261,664"
"104 413,86";"72 614,3";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1164;IDDGEG_InfraestruturasEnergeticas;"104 413,865";"72 614,303"
"104 251,24";"72 860,47";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1163;IDDGEG_InfraestruturasEnergeticas;"104 251,236";"72 860,473"
"103 901,27";"73 333,8";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1162;IDDGEG_InfraestruturasEnergeticas;"103 901,268";"73 333,8"
"103 747,39";"73 592,3";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1161;IDDGEG_InfraestruturasEnergeticas;"103 747,389";"73 592,305"
"103 199,98";"74 070,42";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1160;IDDGEG_InfraestruturasEnergeticas;"103 199,98";"74 070,419"
"103 079,75";"74 509,36";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1159;IDDGEG_InfraestruturasEnergeticas;"103 079,748";"74 509,361"
"104 047,9";"75 085,63";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1158;IDDGEG_InfraestruturasEnergeticas;"104 047,903";"75 085,632"
"103 869,06";"75 274,32";633;PENAMACOR;SABUGAL;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1157;IDDGEG_InfraestruturasEnergeticas;"103 869,055";"75 274,324"
"91 879,62";"68 525,23";633;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1156;IDDGEG_InfraestruturasEnergeticas;"91 879,624";"68 525,232"
"91 017,82";"68 087,33";633;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1155;IDDGEG_InfraestruturasEnergeticas;"91 017,819";"68 087,33"
"90 246,78";"68 272,16";633;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1154;IDDGEG_InfraestruturasEnergeticas;"90 246,781";"68 272,161"
"90 011,02";"68 385,83";633;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1153;IDDGEG_InfraestruturasEnergeticas;"90 011,02";"68 385,825"
"83 654,35";"68 037,52";633;PENAMACOR;PENAMACOR 3A;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1152;IDDGEG_InfraestruturasEnergeticas;"83 654,347";"68 037,519"
"84 126,04";"68 409,64";633;PENAMACOR;PENAMACOR 3A;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_1151;IDDGEG_InfraestruturasEnergeticas;"84 126,045";"68 409,637"
"84 446,38";"68 573,69";633;PENAMACOR;PENAMACOR 3A;Licenciado;Penamacor;Castelo Branco;Centro;IDDGEG_CE_1150;IDDGEG_InfraestruturasEnergeticas;"84 446,382";"68 573,689"
"91 644,15";"68 680,37";633;PENAMACOR;PENAMACOR 3B;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_381;IDDGEG_InfraestruturasEnergeticas;"91 644,152";"68 680,371"
"49 191,85";"131 367,65";600;PICOTO; ;Licenciado;Aguiar da Beira;Guarda;Centro;IDDGEG_CE_2806;IDDGEG_InfraestruturasEnergeticas;"49 191,851";"131 367,646"
"59 919,89";"121 252,83";600;PICOTO; ;Licenciado;Trancoso;Guarda;Centro;IDDGEG_CE_2816;IDDGEG_InfraestruturasEnergeticas;"59 919,886";"121 252,828"
"60 118,04";"121 566,96";600;PICOTO; ;Licenciado;Trancoso;Guarda;Centro;IDDGEG_CE_2815;IDDGEG_InfraestruturasEnergeticas;"60 118,041";"121 566,955"
"60 206,58";"121 822,15";600;PICOTO; ;Licenciado;Trancoso;Guarda;Centro;IDDGEG_CE_2814;IDDGEG_InfraestruturasEnergeticas;"60 206,584";"121 822,149"
"60 131,7";"122 038,95";600;PICOTO; ;Licenciado;Trancoso;Guarda;Centro;IDDGEG_CE_2813;IDDGEG_InfraestruturasEnergeticas;"60 131,705";"122 038,947"
"60 206,88";"122 257,26";600;PICOTO; ;Licenciado;Trancoso;Guarda;Centro;IDDGEG_CE_2812;IDDGEG_InfraestruturasEnergeticas;"60 206,88";"122 257,263"
"60 201,95";"122 467,37";600;PICOTO; ;Licenciado;Trancoso;Guarda;Centro;IDDGEG_CE_2811;IDDGEG_InfraestruturasEnergeticas;"60 201,954";"122 467,368"
"60 129,31";"122 708,15";600;PICOTO; ;Licenciado;Trancoso;Guarda;Centro;IDDGEG_CE_2810;IDDGEG_InfraestruturasEnergeticas;"60 129,312";"122 708,15"
"60 045,63";"122 945,04";600;PICOTO; ;Licenciado;Trancoso;Guarda;Centro;IDDGEG_CE_2809;IDDGEG_InfraestruturasEnergeticas;"60 045,629";"122 945,04"
"49 368,56";"130 827,74";600;PICOTO; ;Licenciado;Aguiar da Beira;Guarda;Centro;IDDGEG_CE_2808;IDDGEG_InfraestruturasEnergeticas;"49 368,562";"130 827,743"
"49 296,16";"131 092,54";600;PICOTO; ;Licenciado;Aguiar da Beira;Guarda;Centro;IDDGEG_CE_2807;IDDGEG_InfraestruturasEnergeticas;"49 296,16";"131 092,536"
"65 984,61";"99 510,23";1130;PRADOS; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3052;IDDGEG_InfraestruturasEnergeticas;"65 984,613";"99 510,233"
"63 989,67";"97 009,21";1130;PRADOS; ;Licenciado;Celorico da Beira;Guarda;Centro;IDDGEG_CE_3053;IDDGEG_InfraestruturasEnergeticas;"63 989,674";"97 009,212"
"63 580,68";"96 884,21";1130;PRADOS; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3054;IDDGEG_InfraestruturasEnergeticas;"63 580,679";"96 884,205"
"66 292,6";"100 034,24";1130;PRADOS; ;Licenciado;Celorico da Beira;Guarda;Centro;IDDGEG_CE_3055;IDDGEG_InfraestruturasEnergeticas;"66 292,6";"100 034,236"
"67 055,59";"100 315,25";1130;PRADOS; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3057;IDDGEG_InfraestruturasEnergeticas;"67 055,59";"100 315,248"
"66 202,61";"99 743,24";1130;PRADOS; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3058;IDDGEG_InfraestruturasEnergeticas;"66 202,607";"99 743,236"
"65 740,63";"98 657,23";1130;PRADOS; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3048;IDDGEG_InfraestruturasEnergeticas;"65 740,63";"98 657,235"
"64 151,67";"97 278,21";1130;PRADOS; ;Licenciado;Celorico da Beira;Guarda;Centro;IDDGEG_CE_3042;IDDGEG_InfraestruturasEnergeticas;"64 151,667";"97 278,214"
"66 594,59";"100 223,24";1130;PRADOS; ;Licenciado;Celorico da Beira;Guarda;Centro;IDDGEG_CE_3056;IDDGEG_InfraestruturasEnergeticas;"66 594,595";"100 223,24"
"65 973,62";"99 201,24";1130;PRADOS; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3051;IDDGEG_InfraestruturasEnergeticas;"65 973,619";"99 201,235"
"64 429,66";"97 484,22";1130;PRADOS; ;Licenciado;Celorico da Beira;Guarda;Centro;IDDGEG_CE_3043;IDDGEG_InfraestruturasEnergeticas;"64 429,662";"97 484,217"
"64 502,66";"97 769,22";1130;PRADOS; ;Licenciado;Celorico da Beira;Guarda;Centro;IDDGEG_CE_3044;IDDGEG_InfraestruturasEnergeticas;"64 502,656";"97 769,217"
"64 995,65";"98 041,22";1130;PRADOS; ;Licenciado;Celorico da Beira;Guarda;Centro;IDDGEG_CE_3045;IDDGEG_InfraestruturasEnergeticas;"64 995,647";"98 041,225"
"65 290,64";"98 218,23";1130;PRADOS; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3046;IDDGEG_InfraestruturasEnergeticas;"65 290,642";"98 218,229"
"65 369,64";"98 529,23";1130;PRADOS; ;Licenciado;Celorico da Beira;Guarda;Centro;IDDGEG_CE_3047;IDDGEG_InfraestruturasEnergeticas;"65 369,635";"98 529,228"
"65 041,65";"97 732,23";1130;PRADOS; ;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_3049;IDDGEG_InfraestruturasEnergeticas;"65 041,653";"97 732,227"
"65 767,62";"98 963,23";1130;PRADOS; ;Licenciado;Celorico da Beira;Guarda;Centro;IDDGEG_CE_3050;IDDGEG_InfraestruturasEnergeticas;"65 767,624";"98 963,233"
"28 244";"104 448";1668;PSA ;;Em licenciamento;Mangualde;Viseu;Centro;IDDGEG_CE_3458;IDDGEG_InfraestruturasEnergeticas;"28 244";"104 448"
"82 708";"77 046";1180-S;RAIA;São Cornélio;Em licenciamento;Sabugal;Guarda;Centro;IDDGEG_CE_3637;IDDGEG_InfraestruturasEnergeticas;"82 708";"77 046"
"74 740,73";"85 387,73";1180;RAIA;;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2482;IDDGEG_InfraestruturasEnergeticas;"74 740,727";"85 387,728"
"74 986,85";"85 174,51";1180;RAIA;;Licenciado;Guarda;Guarda;Centro;IDDGEG_CE_2481;IDDGEG_InfraestruturasEnergeticas;"74 986,85";"85 174,51"
"78 363,46";"72 933,81";1180;RAIA; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_2531;IDDGEG_InfraestruturasEnergeticas;"78 363,46";"72 933,813"
"78 605,17";"72 837,09";1180;RAIA; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_2532;IDDGEG_InfraestruturasEnergeticas;"78 605,169";"72 837,089"
"78 545,92";"72 419,47";1180;RAIA; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_2533;IDDGEG_InfraestruturasEnergeticas;"78 545,922";"72 419,469"
"78 944,94";"72 461,09";1180;RAIA; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_2534;IDDGEG_InfraestruturasEnergeticas;"78 944,935";"72 461,091"
"79 376,88";"72 549,81";1180;RAIA; ;Licenciado;Sabugal;Guarda;Centro;IDDGEG_CE_2535;IDDGEG_InfraestruturasEnergeticas;"79 376,88";"72 549,808"
